"";"dgp";"t";"aq";"avr";"gs";"zint";"z2int";"rz1";"rz1m";"rz2"
"1";"ar1";25;0,32;0,516;0,266;0,414;0,472;0,42;0,58;0,424
"2";"ar1";50;0,604;0,678;0,556;0,61;0,656;0,582;0,688;0,586
"3";"ar1";100;0,87;0,872;0,868;0,856;0,882;0,784;0,824;0,764
"4";"ar1";200;0,996;0,986;0,996;0,99;0,996;0,912;0,986;0,898
"5";"ar12";25;0,088;0,062;0,038;0,076;0,088;0,07;0,162;0,068
"6";"ar12";50;0,132;0,074;0,052;0,068;0,088;0,072;0,164;0,068
"7";"ar12";100;0,158;0,052;0,052;0,068;0,092;0,058;0,156;0,062
"8";"ar12";200;0,5;0,07;0,066;0,092;0,118;0,088;0,186;0,1
"9";"ma2";25;0,372;0,226;0,266;0,042;0,072;0,11;0,13;0,094
"10";"ma2";50;0,658;0,464;0,52;0,238;0,288;0,232;0,308;0,232
"11";"ma2";100;0,886;0,724;0,786;0,528;0,6;0,422;0,626;0,424
"12";"ma2";200;0,99;0,94;0,974;0,832;0,918;0,626;0,964;0,61
"13";"bl";25;0,066;0,2;0,064;0,24;0,256;0,172;0,3;0,182
"14";"bl";50;0,116;0,224;0,184;0,342;0,366;0,27;0,416;0,288
"15";"bl";100;0,15;0,38;0,434;0,552;0,626;0,48;0,658;0,462
"16";"bl";200;0,236;0,574;0,8;0,804;0,86;0,678;0,816;0,676
