dgp;t;aq;avr;zint;z2int;rz1;rz1m;rz2
garch;25;0,07;0,015;0,053;0,048;0,058;0,037;0,058
garch;50;0,073;0,039;0,102;0,065;0,094;0,086;0,097
garch;100;0,056;0,046;0,115;0,058;0,1;0,149;0,102
garch;200;0,048;0,044;0,129;0,055;0,118;0,166;0,118
garch;500;0,053;0,04;0,112;0,059;0,089;0,123;0,099
garch;1000;0,052;0,034;0,088;0,056;0,078;0,114;0,09
normal;25;0,095;0,015;0,034;0,059;0,04;0,036;0,037
normal;50;0,087;0,008;0,039;0,061;0,049;0,041;0,045
normal;100;0,085;0,009;0,038;0,047;0,04;0,047;0,041
normal;200;0,074;0,014;0,044;0,052;0,04;0,048;0,046
normal;500;0,066;0,012;0,055;0,065;0,05;0,057;0,048
normal;1000;0,071;0,014;0,056;0,06;0,05;0,047;0,056
student;25;0,065;0,009;0,038;0,053;0,038;0,024;0,037
student;50;0,069;0,008;0,039;0,053;0,032;0,032;0,029
student;100;0,077;0,021;0,053;0,063;0,05;0,048;0,055
student;200;0,065;0,009;0,043;0,048;0,045;0,056;0,046
student;500;0,049;0,009;0,046;0,049;0,052;0,043;0,051
student;1000;0,06;0,014;0,054;0,059;0,044;0,055;0,042
sv;25;0,084;0,028;0,075;0,064;0,069;0,056;0,075
sv;50;0,066;0,035;0,088;0,056;0,088;0,087;0,082
sv;100;0,053;0,078;0,157;0,067;0,16;0,168;0,147
sv;200;0,053;0,108;0,204;0,059;0,19;0,275;0,182
sv;500;0,052;0,138;0,258;0,037;0,238;0,389;0,241
sv;1000;0,046;0,163;0,289;0,058;0,273;0,445;0,279
