"";"t";"aq";"avr";"zint";"z2int";"rz1";"rz1m";"rz2"
"student";25;0,089;0,012;0,039;0,049;0,043;0,137;0,045
"garch";25;0,07;0,027;0,05;0,064;0,05;0,119;0,049
"sv";25;0,071;0,023;0,055;0,067;0,05;0,144;0,057
"normal";25;0,093;0,014;0,06;0,066;0,059;0,145;0,049
"student";50;0,101;0,012;0,053;0,066;0,061;0,117;0,055
"garch";50;0,077;0,035;0,052;0,063;0,053;0,104;0,052
"sv";50;0,07;0,045;0,053;0,061;0,055;0,105;0,048
"normal";50;0,112;0,009;0,04;0,052;0,047;0,098;0,043
"student";100;0,08;0,01;0,054;0,061;0,048;0,074;0,046
"garch";100;0,058;0,054;0,047;0,057;0,046;0,097;0,049
"sv";100;0,076;0,071;0,04;0,047;0,048;0,075;0,047
"normal";100;0,09;0,011;0,06;0,069;0,053;0,076;0,042
"student";200;0,065;0,012;0,042;0,052;0,041;0,067;0,047
"garch";200;0,065;0,057;0,046;0,054;0,047;0,085;0,056
"sv";200;0,052;0,095;0,039;0,046;0,036;0,068;0,04
"normal";200;0,079;0,011;0,055;0,06;0,056;0,065;0,041
"student";500;0,062;0,01;0,052;0,055;0,054;0,058;0,051
"garch";500;0,061;0,04;0,05;0,059;0,058;0,07;0,064
"sv";500;0,062;0,143;0,05;0,055;0,054;0,069;0,051
"normal";500;0,065;0,01;0,055;0,06;0,055;0,066;0,063
"student";1000;0,066;0,004;0,05;0,052;0,044;0,058;0,042
"garch";1000;0,048;0,029;0,054;0,058;0,047;0,058;0,045
"sv";1000;0,041;0,162;0,042;0,049;0,042;0,061;0,036
"normal";1000;0,068;0,008;0,054;0,056;0,055;0,058;0,047
